Name ,Team ,Current,Tenure ,College,Degree Name,Pro,NCAA,Job History,Job History II,Job History III,Job History IV,Job History V,Job History VI,Job History VII,Promoted After Tenure,Masters
Elton Brand,76ers,Y,6,Duke,Unknown,Y,Y,"GM, GL","PDC, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MBA
Jon Horst,Bucks ,Y,7,Rochester,Sports Management,N,Y,"DoBO, NBA","BOM, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Marc Eversley ,Bulls,Y,4,Urbana,Business Admin,N,N,"SVPoPP, NBA","VPoPP, NBA","VPoS, NBA","VPoCS, NBA","AGM, NBA","PDA, NBA",Unknown,Unknown,Unknown
Mike Gansey,Cavs,Y,3,WVU,Criminology,Y,Y,"GM, GL","AGM, NBA","DoDLO, GL",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Brad Stevens*,Celtics,Y,3,DePauw,Economics,N,Y,"HC, NBA","HC, NCAA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Trent Redden,Clippers,Y,1,SMU,Accounting,N,Y,"AGM, NBA","AGM, NBA","DoPP, NBA","BOM, NBA",Unknown,Unknown,Unknown,Unknown,Unknown
Zach Kleiman,Grizzlies,Y,5,USC,Psychology,N,N,"TC, NBA","AGM, NBA","SNoBO, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,JD
Landry Fields,Hawks,Y,2,Stanford,Communications,Y,Y,"AGM, NBA","GM, GL",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Andy Elisburg,Heat,Y,11,St Thomas,Sports Admin,N,N,"VPoBO, NBA","DoTO, NBA","ADoPR, NBA","PR Asst, NBA",Unknown,Unknown,Unknown,Unknown,Unknown
Jeff Peterson,Hornets,Y,0,Arkansas,Marketing,N,Y,"AGM, NBA","AGM, NBA","DoS, NBA","BOC, NBA","Scout, NBA",Unknown,Unknown,Unknown,MA
Justin Zanik,Jazz,Y,6,Northwestern,Economics,N,N,"AGM, NBA","AGM, NBA","AGM, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Monte McNair,Kings,Y,4,Princenton,Computer Science,N,Y,"DoBO, NBA","DoBO, GL","BOA, NBA","BOTA, NBA",Unknown,Unknown,Unknown,Unknown,Unknown
Leon Rose*,Knicks,Y,1,Dickinson,Poli Sci,N,Y,"Agent, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,JD
